preperation_level,study_hours,sleep_hours,revision_frequency,exam_stress_level,performance_scores
1,12,24,5,4,77.2958230487846
3,5,18,2,1,71.05582994744873
1,18,13,5,3,100.0
3,4,10,4,2,68.15164416253243
3,23,24,1,2,68.88967139771549
2,6,20,6,5,81.52982983728239
1,24,13,5,5,78.99722653398916
1,23,19,7,1,100.0
2,18,23,4,4,98.61556051413457
1,23,1,3,2,48.85445068254251
2,2,5,1,2,36.01622528396005
1,3,4,1,4,25.103845040537117
1,12,7,7,2,98.15347248855704
1,20,8,6,1,100.0
1,14,5,4,5,81.18180071179948
2,3,10,5,2,65.19114264840678
1,21,9,7,5,98.7324704997256
1,16,8,5,1,99.82589482125555
2,12,6,4,1,78.96498231963793
1,4,14,1,3,55.28572607552753
1,1,24,1,2,23.326262176925145
2,1,5,3,3,38.79743435710485
2,22,10,5,5,96.54759025710263
1,17,16,6,2,100.0
1,15,16,6,2,100.0
2,7,20,5,1,86.69855633639449
3,1,12,2,5,60.7621083031893
1,1,7,5,2,40.255788288775605
3,1,8,7,2,58.89562368685494
1,20,1,7,3,76.53195647971852
1,24,13,1,4,70.59258922409532
1,18,7,5,1,90.55274770175826
3,15,9,3,2,97.6793366730873
1,21,1,6,3,68.57051557478265
1,18,13,6,5,100.0
2,23,13,6,4,98.68226110886641
2,2,1,6,2,40.95596943458501
2,12,3,3,3,64.55802089589378
2,9,24,4,1,64.30036197659386
3,14,20,5,2,100.0
2,14,18,4,5,100.0
1,4,15,3,2,62.16849246479428
2,10,19,7,3,100.0
3,22,24,4,1,85.57401403310327
3,10,6,1,5,70.82177742012499
3,4,10,2,1,60.576261553149926
2,13,14,5,1,100.0
2,23,20,2,5,84.8697882229068
1,22,19,5,3,98.91024167075824
3,8,15,2,4,87.4425090308684
2,5,2,3,2,39.79504454720188
3,18,1,4,3,83.55939376195334
1,9,15,2,3,81.912569601686
3,1,17,1,1,61.063568948558824
1,10,9,7,1,83.70705944691524
1,9,24,5,3,70.30172834273368
2,17,4,2,4,77.89095435964691
1,22,4,4,3,68.8343192257902
1,17,20,5,4,100.0
3,9,8,1,2,70.54653588143316
2,14,2,5,2,79.7942189440489
2,24,12,7,5,100.0
3,8,13,5,1,89.25918572549773
2,5,16,7,2,91.17557451650573
3,10,4,3,2,64.13744008056646
3,8,5,4,4,68.16786547196783
2,7,23,4,1,69.70279655591635
3,6,17,5,2,88.79284967699513
1,22,20,7,5,96.3455337822837
2,21,11,3,2,95.69018943529699
3,4,15,1,2,61.73920420842749
1,7,5,7,1,62.47472340896366
2,8,1,1,5,43.199021190890065
2,21,10,5,2,100.0
2,9,21,6,4,96.07015757444435
3,4,1,7,4,52.141100757013504
3,13,5,5,4,87.8648238263723
2,24,18,5,3,90.78710302274585
3,4,13,2,2,70.53980446753792
2,10,3,4,2,65.42414472530163
3,10,3,7,5,80.23306267325691
2,12,17,2,2,91.46265280062946
1,22,11,3,5,84.86166892430191
3,1,1,6,1,41.547541258873736
3,4,10,2,3,65.32170972784628
1,9,17,6,5,91.06703624982208
3,1,2,6,3,43.08939734649158
3,12,15,5,4,100.0
1,9,21,7,1,92.46800918843991
2,14,16,6,1,100.0
2,21,14,5,5,100.0
1,7,20,2,1,66.37341037395052
1,10,12,4,4,89.42636799747939
1,21,13,7,4,100.0
3,23,21,5,3,96.55623793269481
1,7,24,2,3,51.800266078712596
2,16,14,5,4,100.0
3,24,18,5,1,97.05918879761846
1,9,14,6,4,89.69048780841477
1,13,8,1,4,73.3243062895694
1,7,4,1,5,40.49179595543855
1,6,14,1,4,62.36407468088066
3,5,2,1,3,31.624604321294257
1,9,11,3,1,81.55663056415847
2,16,5,6,1,95.50063320159715
2,15,11,1,4,92.99532475062293
1,14,15,6,4,100.0
1,3,11,7,1,71.24563031290425
1,11,6,5,2,78.2504036364706
2,10,14,2,2,85.5415015514891
3,9,8,5,2,83.0454831350812
3,21,13,5,2,100.0
3,8,21,3,3,85.61246228488791
1,24,17,4,5,85.03785377499696
3,9,15,3,4,97.8210100775093
1,10,2,1,2,51.77990325989554
3,7,19,1,3,81.35027242245899
2,16,21,3,1,100.0
1,22,4,4,2,66.60246604830871
3,10,24,6,5,83.54844497669221
3,11,17,5,3,100.0
1,18,4,5,3,85.59427576418399
3,20,12,7,5,100.0
2,17,14,3,1,100.0
1,20,22,6,4,100.0
3,21,7,2,5,89.11080998364027
3,1,14,1,1,58.715953876077954
2,10,11,1,5,75.35858139731657
3,21,4,5,3,87.97500335963052
1,10,22,1,1,67.44563088658452
1,19,17,3,5,99.16869626861396
3,11,12,2,3,93.33528282225609
3,23,24,2,4,68.45276311287307
2,21,4,1,3,68.17226428601492
1,3,19,4,4,66.84727149243818
3,7,11,1,2,69.69326844381956
2,15,22,5,5,100.0
3,13,23,2,1,92.37315173747882
2,16,20,6,5,100.0
2,21,9,1,5,82.88328730356366
1,22,9,5,3,92.15231100607141
1,2,15,1,2,46.8251740151321
3,9,24,3,4,64.76145603100163
3,3,3,1,4,31.60174854976134
2,10,1,3,3,56.25051235727331
3,19,20,6,4,100.0
3,1,8,5,5,59.22008144274251
2,22,2,3,1,62.68382044916449
1,20,10,1,1,79.4320464399316
3,7,13,3,3,80.23699989600787
3,15,5,1,1,80.96238178804363
3,1,10,2,2,53.95592929253736
1,14,24,4,3,78.09254853406293
2,8,5,5,5,61.97893344111945
3,8,7,6,3,80.26961266422732
2,7,18,1,2,78.86709347053565
3,5,6,7,1,66.72500771680802
3,20,19,2,4,100.0
3,19,14,3,2,100.0
1,21,1,6,2,72.29841130177095
1,14,24,4,4,75.16562546982162
3,12,2,5,3,80.37256047365901
2,17,23,4,2,98.035712122782
2,24,5,4,2,73.67207014246733
1,12,8,6,5,86.21098907769559
1,9,22,4,1,72.74173945988547
3,18,13,7,5,100.0
1,20,21,3,3,93.13808848183155
3,16,24,4,5,91.98201387368317
3,22,1,2,5,60.32487316918046
2,3,18,6,1,88.35648632584929
3,17,4,6,1,100.0
1,12,21,1,3,86.10825199188463
1,20,8,7,3,100.0
2,16,12,6,2,100.0
3,20,20,1,2,100.0
1,19,18,5,2,100.0
2,21,10,4,2,90.1439291906974
1,9,6,1,2,56.74880631503698
1,13,10,4,1,93.66968103768676
3,23,1,6,1,72.88955442209887
3,7,13,2,2,81.48661245303492
1,16,7,5,1,96.19668836414039
3,17,22,4,5,100.0
2,17,8,7,1,100.0
3,1,18,5,1,78.18770833758914
1,21,6,7,3,88.50507478097782
2,11,15,3,2,100.0
1,15,13,2,2,99.45334036567249
2,1,12,4,1,57.89863208049535
2,17,20,2,3,100.0
2,21,20,4,2,100.0
3,23,12,7,1,100.0
3,15,7,2,2,92.182155453905
1,10,8,5,1,82.59262532742332
3,21,14,5,1,100.0
3,9,24,7,2,91.13709973688336
2,17,9,2,4,96.94025029191143
1,13,22,5,1,94.7503980603557
1,18,22,6,1,100.0
3,20,11,7,2,100.0
2,19,19,1,5,97.5844260229885
1,6,15,7,3,86.907740368833
3,24,9,2,4,78.11815306823559
3,7,1,5,3,50.34242761385571
1,20,3,6,1,79.75826667784511
2,14,8,4,4,90.48071084944166
2,10,14,5,1,100.0
1,4,22,6,1,63.722750957375276
3,21,11,3,4,100.0
1,16,5,4,4,81.99277293661366
2,3,23,4,3,58.0668991177265
3,5,21,3,5,74.9028661401819
3,19,14,6,3,100.0
3,17,21,7,2,100.0
1,22,22,4,2,87.91474358333828
1,7,1,2,5,32.259800212859275
2,11,24,2,1,70.53079137414909
1,11,22,6,1,88.33820887146389
2,4,21,3,2,64.64117320718901
1,12,16,3,4,92.55842452222308
1,2,21,2,2,54.374560764076804
2,10,3,4,3,63.697715345994595
2,13,20,7,5,100.0
1,17,5,5,5,85.77909348714063
2,4,10,2,1,55.188074699291136
3,13,20,5,2,100.0
2,17,10,5,5,100.0
3,5,22,7,2,81.44448275722131
3,23,10,1,4,83.80518624090394
2,24,18,3,1,84.27590760382088
1,3,20,1,3,50.04701547004944
1,3,3,2,4,29.993910211995654
3,24,4,5,5,68.64266215793681
3,20,9,1,3,93.1673919974925
1,21,22,3,4,88.73937854448884
2,6,13,4,3,78.84420795045355
2,15,6,6,4,99.23409214846882
1,16,9,3,4,87.3678911402488
2,11,1,4,1,66.32546618024261
2,4,5,1,2,34.46575928912953
2,22,23,7,2,95.89513996958922
3,15,10,1,2,93.03269600070642
1,22,22,6,2,95.27611747930553
3,9,9,2,2,84.69887731011319
2,12,23,5,1,90.80812893308655
1,9,22,4,2,75.0780394108457
2,1,11,7,5,72.99423580267455
2,13,3,3,5,67.41411998405837
1,12,6,2,3,68.30075116513565
1,24,7,4,1,61.253226776036506
2,22,13,2,5,89.29982471067082
2,3,10,3,4,58.845239682364024
1,21,3,7,4,79.75560431997815
1,12,9,1,4,75.7792212115602
3,13,13,2,4,100.0
3,4,19,6,1,88.06096505299679
3,17,6,2,1,85.03912905762414
3,23,11,1,3,87.41315463009165
1,15,8,5,1,95.01335714135013
2,24,24,1,3,58.645249477673566
2,24,14,4,2,94.13598419737023
2,11,18,4,1,100.0
3,22,23,7,3,99.37779894153789
2,2,12,1,1,50.69539709130994
3,11,17,1,4,95.75491901072986
1,10,7,6,5,77.31677865580887
2,19,24,1,1,69.96935765549415
1,13,22,2,2,79.37861412302622
3,23,19,4,1,100.0
2,18,13,3,5,100.0
3,4,10,1,1,57.18788002348701
2,13,6,7,1,96.19249670113996
2,24,17,6,4,100.0
3,15,22,1,3,91.56299991511277
1,20,16,4,3,100.0
1,14,16,7,2,100.0
2,16,10,2,1,93.72293446013327
1,24,17,4,5,91.05513361732966
1,11,20,4,5,88.38879739870849
2,8,22,5,2,82.93108267552715
3,18,11,7,5,100.0
3,23,6,2,1,72.58023219696128
1,15,24,6,5,82.07415494576601
2,5,21,1,4,63.636268059943546
3,18,8,6,5,100.0
3,17,9,1,4,98.0432544877815
2,6,20,5,2,79.6355393339562
2,1,19,7,4,76.8422797941787
1,8,10,2,3,70.73637576557077
1,16,14,7,5,100.0
1,19,7,1,4,74.42857652546813
1,7,9,1,1,51.75917605096547
2,23,3,5,3,70.12835068048635
2,18,4,4,2,81.83209326198698
3,11,12,7,5,100.0
2,8,18,4,4,90.53647245800965
1,9,23,6,1,82.07089987454364
1,2,15,7,4,79.65884723257855
3,8,12,2,3,83.89534067612591
3,14,5,7,2,98.58501119162084
3,19,10,2,2,99.41695563037891
3,11,22,1,1,83.37108527586295
3,1,11,7,5,73.8702980292804
3,16,12,1,4,100.0
3,17,19,5,2,100.0
3,20,18,1,4,100.0
3,9,14,6,3,98.28741617271582
3,8,3,7,5,73.09181984676678
3,6,24,3,4,59.671930654879965
3,11,6,6,2,90.0964107369633
2,18,20,3,2,100.0
2,24,18,5,5,88.83475386244235
1,23,15,2,2,88.22270907576464
1,3,20,6,5,64.61635435028678
2,2,9,7,2,67.20852433983157
1,18,17,4,4,100.0
3,5,24,2,3,56.54989986130753
2,22,9,5,3,88.0779762105625
2,18,10,5,1,100.0
3,4,24,2,3,48.96845804999202
1,11,19,1,4,88.18756479527306
3,14,8,4,3,96.80557022887028
1,3,1,4,1,23.928142815756377
2,24,24,6,3,69.34966365197474
3,2,7,7,1,65.42019572020948
2,8,5,7,1,69.46874708312565
3,17,1,2,4,72.09290255811574
3,8,10,6,5,93.74492052523576
3,11,5,2,3,67.39754052848915
2,11,18,5,2,100.0
3,8,4,6,5,75.25932466889836
1,10,21,2,4,73.29419842017091
2,24,15,2,4,80.0295114693218
2,3,17,1,5,59.68323757966375
3,20,9,6,3,100.0
1,2,8,3,4,42.77816263338777
2,15,22,7,4,100.0
1,17,6,4,4,86.08622452238721
2,2,19,2,1,53.62111689414769
1,5,11,4,1,68.5986886090218
2,19,3,5,5,83.01166753168687
2,4,3,5,1,51.51870471977037
3,11,6,4,3,79.78740774751361
1,14,20,5,4,100.0
3,3,22,7,5,69.35574531943767
3,22,22,1,3,82.61019032491774
3,11,11,5,1,100.0
1,16,14,7,1,100.0
2,8,18,2,5,81.2858827733866
1,13,11,1,5,82.70857276470369
2,8,6,2,1,59.426252827385305
1,12,11,2,3,89.13392358724444
3,20,3,2,2,76.66572728539265
2,10,12,2,2,85.81447889441426
1,14,19,1,1,89.59618724452993
1,10,20,2,2,83.35000727703998
3,8,16,5,3,96.9413840273169
1,20,18,2,5,95.55434333086347
3,21,2,7,3,92.24309555271921
2,21,4,2,4,74.06873725909374
3,18,21,4,5,100.0
1,5,16,1,5,61.19496622622006
2,18,2,4,1,76.91445631613803
3,6,11,3,4,74.59403906717996
1,24,15,7,2,98.58994712454951
1,20,11,3,3,98.2072135838105
1,19,22,5,2,100.0
2,19,8,5,3,100.0
2,6,6,4,4,56.19689208684593
3,14,1,2,3,74.56837273619111
3,16,9,6,3,100.0
2,14,12,3,2,100.0
1,22,14,6,1,98.57093849199346
3,17,18,7,3,100.0
1,8,22,6,1,80.33805983043247
2,20,2,1,2,68.0621116716437
3,20,12,4,1,100.0
2,1,14,7,1,79.21481999897645
2,15,13,4,2,100.0
2,16,20,1,3,100.0
3,7,5,7,4,72.06713944275927
2,1,10,7,5,72.3402672718835
3,5,16,2,1,72.70404003989825
3,17,6,1,1,78.62190766886887
2,15,24,1,5,77.98002184671161
2,6,3,3,2,44.75918277042165
1,24,24,3,5,51.707372169444824
1,13,2,3,4,57.569940163362034
2,11,13,4,3,100.0
2,19,21,5,2,100.0
3,14,13,7,3,100.0
2,3,20,5,3,77.8051777797282
3,9,15,3,4,96.74932560385749
1,9,6,7,2,72.1089897626205
3,4,12,3,4,71.21052176214667
3,2,8,3,2,53.05711759412971
2,7,4,5,5,59.12152802977059
1,10,6,5,1,76.08141833699058
3,16,5,5,2,93.70682760289509
2,2,20,4,4,65.73935200191225
2,20,18,3,5,100.0
3,3,16,5,5,84.74171821788465
2,9,14,2,5,84.670967710395
3,20,3,1,2,68.57134315168958
2,24,11,3,3,81.12180587596004
3,16,16,4,4,100.0
2,1,19,3,2,63.00286848966062
2,1,13,6,1,73.582057401137
3,18,19,2,3,100.0
3,20,6,5,1,97.0554044889304
1,18,2,2,4,62.27986045673648
2,9,21,3,3,86.19976405552138
1,18,19,1,1,97.78382406033273
2,15,9,1,5,86.35598719471767
3,14,9,6,5,100.0
3,7,11,7,5,93.86295598231334
2,8,2,3,4,52.17269266004646
3,22,11,1,1,87.75706841552791
3,7,17,5,3,92.4751953721576
1,2,10,3,4,49.14990903666422
3,24,16,5,1,100.0
1,8,13,4,1,76.9002665260129
3,2,3,6,3,45.06950773190129
2,13,5,4,1,85.4831492737857
3,3,12,1,1,63.053020362848585
1,22,10,2,4,79.42042838387191
3,7,12,4,3,86.50455915327649
3,22,18,4,5,100.0
2,19,1,2,4,65.94449006254898
1,6,13,2,5,62.17380979658024
2,21,21,3,1,98.7460366856275
2,16,24,1,4,76.41636505944354
1,10,23,4,4,68.68425536118451
2,14,15,3,3,100.0
2,24,3,6,3,67.50535672632226
2,18,3,6,5,89.83578770011547
1,19,9,6,5,100.0
1,18,17,1,1,100.0
2,10,12,1,3,79.11415213183741
2,17,8,7,4,100.0
1,7,5,3,4,49.279467026134576
1,3,24,3,3,35.2682839127796
1,16,5,4,1,81.94221097917398
3,21,18,5,1,100.0
3,1,16,3,2,74.725553453617
3,10,12,5,2,100.0
2,6,24,6,2,69.71189345864997
3,16,15,2,1,100.0
3,23,22,3,1,85.43794834404714
3,24,21,7,1,97.18819382855918
2,11,20,4,1,100.0
2,5,5,7,4,63.65650870777281
1,18,20,2,3,99.12723102324816
1,17,5,5,2,84.78284360378987
2,4,1,7,1,49.724709653840605
3,5,2,7,2,59.00980580939981
3,12,1,2,5,68.62168547330762
3,3,11,7,2,78.48508943778289
3,5,12,6,2,87.3856266711252
2,10,8,7,4,85.80107660613831
2,4,23,7,5,67.34626874226902
1,7,24,5,1,59.19389563758628
2,21,12,5,2,100.0
2,14,20,7,4,100.0
3,6,9,5,2,77.21482179949811
2,17,18,3,3,100.0
3,12,18,3,1,100.0
2,8,12,1,2,72.91957177524483
2,20,1,7,4,88.56557470612981
3,6,4,6,5,63.743470110042544
2,9,4,5,4,68.16616099326451
2,4,20,3,3,58.47532992564487
1,5,3,2,1,35.014510647656714
3,24,12,3,1,91.5982971854587
2,10,15,7,2,100.0
3,11,17,5,3,100.0
2,2,2,3,4,31.331085813354747
3,2,7,3,4,49.0875651686156
3,9,16,7,1,100.0
2,19,20,4,4,100.0
2,4,14,3,2,65.51188893451321
3,15,21,5,5,100.0
2,22,16,4,2,100.0
3,5,7,7,1,73.36520226701973
2,3,4,4,1,42.351522588549514
1,7,12,4,2,71.75779589779461
1,5,5,2,1,34.56280930914919
2,15,10,1,5,87.48582256671817
2,18,21,4,3,100.0
1,10,5,4,3,62.00168102862861
3,11,7,4,1,87.92767820358513
1,24,2,4,5,50.96249356111821
2,13,6,5,5,87.71890052102954
3,14,20,7,4,100.0
1,2,18,1,1,50.05091993584144
1,16,21,4,2,100.0
2,15,16,5,5,100.0
2,7,24,7,4,72.79683974739824
1,2,11,3,3,55.65882453411894
2,2,21,3,5,53.49126979327268
3,24,18,6,4,100.0
1,10,12,5,2,91.83344114524135
2,9,5,3,1,56.95564428050105
1,7,24,3,2,53.199567069255615
1,21,17,2,1,97.24504167193389
1,15,7,6,2,92.987259116839
1,4,20,1,4,50.362656946951965
1,18,5,2,4,76.3189480403404
1,18,20,6,5,100.0
3,24,6,4,4,70.65582599184246
1,19,1,3,4,64.99684456095338
1,13,11,3,2,91.30379116259981
2,8,10,2,4,70.67122402332775
1,17,18,1,2,100.0
1,4,11,4,1,55.71922387225118
3,8,23,5,5,84.03325624738255
1,14,2,3,2,67.29579913559866
3,1,1,3,1,36.962278755422275
1,10,3,5,1,68.34638087156708
1,14,18,2,4,100.0
2,23,17,4,2,90.46962414744772
2,10,19,4,1,95.90509796111849
3,5,8,7,1,77.47531491178296
3,17,15,1,5,100.0
3,19,4,2,2,77.1902268454768
1,24,14,5,2,89.3281752228353
2,11,18,7,4,100.0
1,11,16,5,5,100.0
1,11,11,1,4,74.864645325097
3,8,2,7,4,69.92842218963992
1,15,21,4,3,100.0
3,15,20,1,4,100.0
1,17,1,4,4,72.22662688750181
1,5,14,1,4,58.30844124990916
1,10,5,1,3,57.44734935295062
2,13,9,6,4,100.0
2,17,7,2,5,84.07569962217337
3,19,6,4,2,90.60960817021267
3,6,3,3,2,49.034711841744446
1,11,5,7,3,83.39583732475019
2,22,13,1,4,89.48787792591769
1,2,7,6,5,50.78691384959626
3,6,16,2,3,71.05637631978574
1,9,12,6,2,90.37313693882172
1,6,22,5,1,71.6146106768315
3,3,12,5,5,83.56503115285554
2,1,2,2,5,23.03884154718382
1,17,3,6,5,84.03653491907815
3,8,9,2,3,73.73851296210019
3,23,17,1,4,92.44065707132967
2,22,3,2,3,64.51639015254467
3,21,16,7,2,100.0
3,7,13,5,4,90.34388967520457
2,6,11,5,5,82.68242951785147
1,17,10,7,2,100.0
1,10,16,3,4,88.49833337971017
1,2,22,2,1,43.93259741821917
3,24,22,5,3,86.32466923049174
3,6,14,3,1,78.41232273429706
3,16,11,4,2,100.0
2,11,8,5,5,86.57767509629123
2,23,23,7,2,92.514659328896
2,10,19,5,2,100.0
2,20,3,6,3,87.75433811888264
3,17,16,4,4,100.0
1,16,5,5,1,86.02868844501631
2,19,2,7,3,91.65975698968782
2,24,23,7,5,78.50936582263861
3,14,22,2,3,93.72316719212222
2,23,12,2,3,84.96084796105727
1,15,3,3,4,76.21676034539618
3,9,10,5,1,95.61320898917678
2,21,13,7,1,100.0
3,7,9,2,1,72.34152635566421
3,3,3,3,1,42.68637144588701
1,17,20,2,3,99.10106561779077
2,22,23,5,3,86.52952076342612
1,3,9,5,4,65.30415830481047
2,5,3,5,5,47.61274275849214
2,4,20,3,1,70.56155464469704
3,6,15,2,5,78.18967356013427
3,16,23,7,4,100.0
1,17,23,3,2,89.84889475737803
1,10,7,1,2,60.34694766231324
2,5,4,2,1,38.27880231100911
2,19,5,7,1,93.39488207823703
1,11,16,1,4,84.70643530774188
1,5,22,4,3,57.632601835236805
3,1,21,4,2,66.12095718992035
1,13,24,6,1,86.01770229671352
3,18,12,3,1,100.0
2,6,8,5,5,67.4397460789156
2,11,9,2,1,79.33535941273861
3,3,22,1,2,54.76339343982506
2,11,14,4,3,98.77849086872678
1,12,19,3,4,91.29307669103639
1,14,7,3,3,82.1707685771693
2,17,22,4,3,100.0
1,7,12,1,2,64.07400471669379
2,5,18,1,5,65.79506268362078
1,4,4,5,3,49.35992677867541
1,5,24,5,4,52.73292735370318
1,6,2,6,5,50.27212861749428
2,5,5,5,3,57.30155635829362
1,22,4,7,1,84.77853941861501
1,7,16,4,4,79.88725500795029
1,5,16,5,3,75.68257411327298
2,16,14,7,5,100.0
3,2,16,3,5,72.79116184335355
2,6,10,7,3,81.11900972449071
2,15,15,7,4,100.0
2,2,7,5,3,45.64540470918425
2,5,11,6,4,82.5815591832955
3,20,22,7,4,100.0
2,10,13,1,4,79.63575726538569
1,5,2,6,3,46.730835841691295
3,18,7,5,1,100.0
3,8,2,3,5,53.24831287859843
1,6,7,3,5,51.64376120048691
1,22,22,7,5,99.53745129878853
1,15,4,1,2,67.89344216518114
1,8,15,1,4,70.45318952842685
3,15,16,1,3,100.0
2,13,22,2,3,85.32743402716395
2,13,10,4,4,93.95994766076619
2,7,17,1,5,72.82592973993441
2,20,19,6,2,100.0
1,9,1,5,5,53.71074388908619
3,10,14,5,4,100.0
1,10,1,6,2,60.145946230243496
3,4,5,3,2,53.999507014970206
1,6,7,1,3,46.77350863810618
3,24,23,7,5,83.54784527691879
1,21,23,3,1,81.89072961329747
2,4,22,1,1,52.515413974201984
2,17,17,7,1,100.0
3,1,11,2,2,53.83808318556969
3,4,22,6,3,71.80631957804952
1,22,5,5,1,77.68388342867057
1,23,6,1,2,60.463405077729526
3,11,7,2,1,76.21498997652958
1,3,15,2,2,55.33800842094636
1,18,17,5,1,100.0
3,7,3,4,3,64.86247420492668
1,19,18,1,5,99.92418793014279
1,20,13,7,5,100.0
1,22,14,3,2,93.04276065839154
3,6,10,7,5,82.00376940063072
3,9,20,1,3,87.13105239022538
2,22,3,3,2,70.96695167519213
2,8,20,4,2,86.20092139137905
1,6,6,6,4,58.55655587263111
3,19,16,5,3,100.0
1,14,19,5,3,100.0
2,13,18,1,1,93.2342998660731
2,20,1,6,2,85.10529196609392
3,6,18,5,1,94.03227909294039
2,18,9,7,3,100.0
2,19,11,6,4,100.0
2,19,21,3,3,100.0
2,10,13,7,5,100.0
3,10,13,2,4,95.89620448102593
1,19,12,1,3,91.67941611963319
2,21,21,5,5,100.0
3,13,9,5,2,99.72292063769338
1,18,22,7,2,100.0
1,12,21,2,4,85.86394480038419
2,21,21,3,4,99.5837539944413
3,13,3,4,2,84.65824336503476
3,6,8,4,2,68.09541897438105
1,16,19,7,1,100.0
3,8,6,4,4,75.1962285643741
1,24,10,2,1,71.75812473768207
3,3,4,1,3,32.67576899934815
2,24,18,6,5,98.17439746773516
1,20,20,7,3,100.0
2,2,14,3,5,60.16724664461284
2,7,16,4,3,83.9429293475638
2,11,22,5,5,92.59683164304165
1,18,11,4,3,100.0
2,5,9,6,4,72.87001834130612
3,24,2,6,3,71.5905599287758
3,24,8,4,3,78.22927723062526
3,2,22,2,5,48.127183550846226
3,19,20,7,2,100.0
1,23,4,5,3,69.92653884422279
3,19,14,6,3,100.0
1,13,1,3,3,57.39467220155463
2,19,18,5,3,100.0
2,19,5,7,4,90.82212449421151
3,20,20,3,2,100.0
1,21,21,6,2,100.0
3,9,6,5,2,84.76577554356987
1,2,1,5,2,35.54964717139796
2,2,21,1,1,49.69199553476236
1,17,10,1,4,88.68475627065676
3,23,6,5,4,77.42372711317584
1,6,11,2,3,65.73033670646699
3,10,19,5,1,100.0
2,11,11,2,2,88.53960622064643
3,7,2,6,1,61.78416513192717
2,15,1,5,4,77.47149484743908
3,24,3,7,2,74.85321445202679
3,21,10,4,5,100.0
2,17,14,1,2,96.65904581722377
1,1,12,5,5,59.56020363671601
2,16,8,1,4,82.81945165046642
2,7,8,3,1,65.46806012551642
2,11,19,6,3,100.0
2,15,22,6,3,100.0
2,8,24,6,4,76.97170336955855
2,22,6,1,3,68.96107491613873
2,24,14,4,2,94.37970100656905
3,15,1,5,4,87.36656303497463
1,17,20,6,5,100.0
1,5,5,7,1,55.936662130645466
3,6,4,6,2,63.974147047820786
2,8,9,3,4,72.34279060080202
1,20,14,6,5,100.0
3,17,2,6,4,92.62599252848979
2,15,8,1,4,86.30325248950442
1,3,2,2,4,23.701923623769808
3,1,3,4,2,44.53831846224684
1,10,4,3,4,64.39631274105315
1,6,22,7,4,76.19377112826487
2,16,13,5,5,100.0
1,13,16,2,2,95.92055567463848
2,22,17,1,5,100.0
2,16,11,7,5,100.0
3,9,17,3,2,99.34109695501527
1,2,20,4,4,63.958373261402876
3,12,4,4,4,79.73285156006493
1,6,2,3,2,35.618811455971304
2,17,3,1,2,66.15247290181333
2,12,8,3,5,80.53002649848182
1,17,9,3,2,89.05967742608408
2,22,21,6,4,100.0
2,15,22,1,4,83.35900306490997
2,6,8,6,5,74.50603227651196
1,10,4,2,1,57.544604770217354
2,17,16,7,2,100.0
1,10,6,1,1,57.58595207801018
